merged_symbol	merged_geneid	replaced_geneid	replaced_discontinued_geneid	replaced_discontinued_symbol	replaced_date	GeneID	Discontinued_GeneID	Discontinued_Symbol	Discontinue_Date
AKR7A2	8574	8574	115578	LOC115578	20050510				
AKR7A2	8574	8574	94395	LOC94395	20050510				
AKT3	10000	10000	26068	DKFZP434N0250	20050510				
ALAS2	212	212	113545	LOC113545	20050510				
ALAS2	212	212	115365	LOC115365	20050510				
ALAS2	212	212	139796	LOC139796	20050510				
ALAS2	212	212	158993	LOC158993	20050510				
ALAS2	212	212	203568	LOC203568	20050510				
ALAS2	212	212	90735	LOC90735	20050510				
ALB	213	213	23482	PEPT	20050510				
ALB	213	213	23486	PEPT_2	20050510				
ALB	213	213	29004	PRO0883	20050510				
ALDH18A1	5832	5832	118736	LOC118736	20050510				
ALDH18A1	5832	5832	9193	SPG9	20170927				
ALDH1A1	216	216	96075	LOC96075	20050510				
ALDH1A3	220	220	145757	LOC145757	20140624				
ALDH1A3	220	220	90476	LOC90476	20050510				
ALDH3A2	224	224	125207	LOC125207	20050510				
ALDH3B1	221	221	115175	LOC115175	20050510				
ALDH3B2	222	222	219916	LOC219916	20050510				
ALDH6A1	4329	4329	100506517	LOC100506517	20101218				
ALDH7A1	501	501	100510477	LOC100510477	20101209				
ALDH7A1	501	501	100510526	LOC100510526	20101209				
ALDH7A1	501	501	64414	EPD	20080314				
ALDH7A1P1	541	541	100421359	LOC100421359	20100813				
ALDH7A1P2	542	542	100421348	LOC100421348	20101013				
ALDH7A1P4	544	544	100421434	LOC100421434	20110302				
ALDOA	226	226	102723572	LOC102723572	20140506				
ALDOA	226	226	113822	LOC113822	20050510				
ALDOA	226	226	115339	LOC115339	20050510				
ALDOA	226	226	116415	LOC116415	20050504				
ALDOAP1	391538	391538	100420623	LOC100420623	20100813				
ALDOAP1	391538	391538	227	ALDOAP1	20050510				
ALDOAP2	228	228	100420735	LOC100420735	20100813				
ALDOB	229	229	138369	LOC138369	20050510				
ALG10B	144245	144245	493903	ALG10B	20060511				
ALG13	79868	79868	55849	ALG13	20080512				
ALG13	79868	79868	728848	LOC728848	20070722				
ALG13	79868	79868	730742	LOC730742	20070619				
ALG14	199857	199857	116072	LOC116072	20050502				
ALG1L15P	730086	730086	100422655	LOC100422655	20100831				
ALG1L3P	100132066	100132066	100421084	LOC100421084	20100828				
ALG1L3P	100132066	100132066	650515	LOC650515	20081024				
ALG1L5P	647415	647415	100421106	LOC100421106	20100828				
ALG1L8P	645015	645015	100422662	LOC100422662	20100813				
ALG3	10195	10195	131416	LOC131416	20050510				
ALG3P1	442131	442131	100422668	LOC100422668	20100813				
ALG6	29929	29929	94752	LOC94752	20050510				
